keys,zh_TW,zh_CN,en
DLG_STORE_REGISTRY_HOST_STAGE1_TEXT,"（螢幕亮著，淡綠色的舊式介面上滾動著你看不懂的店籍資料。）
【CS-STORE #0047──店籍登錄系統】
權限選單裡有一排維修指令，但每一條都像加密過的咒語。
你還不夠了解這台機器人出了什麼事，不敢隨便按下去。","（屏幕亮着，淡绿色的旧式界面上滚动着你看不懂的店籍资料。）
【CS-STORE #0047──店籍登录系统】
权限选单里有一排维修指令，但每一条都像加密过的咒语。
你还不够了解这台机器人出了什么事，不敢随便按下去。","(The screen is lit, unfamiliar store registry data scrolling on a pale green retro interface.)
[CS-STORE #0047—Store Registry Mainframe]
A row of maintenance commands is listed on the menu, but each looks like an encrypted spell.
You don't know enough about what happened to this robot to dare execute them."
DLG_STORE_REGISTRY_HOST_STAGE2_TEXT,"【CS-STORE #0047──店籍登錄系統】
（診斷紀錄已同步。系統把一條指令推到了選單最上方：）
「RESET──重寫終端身分登錄，恢復原廠服務人格。」
（你大概知道問題出在哪了。細節還沒全弄清楚，但重置應該能讓它恢復工作。）","【CS-STORE #0047──店籍登录系统】
（诊断纪录已同步。系统把一条指令推到了选单最上方：）
「RESET──重写终端身分登录，恢复原厂服务人格。」
（你大概知道问题出在哪了。细节还没全弄清楚，但重置应该能让它恢复工作。）","[CS-STORE #0047—Store Registry Mainframe]
(Diagnostic logs synchronized. The system has pushed a command to the top of the menu:)
""RESET—Rewrite terminal identity registry, restoring factory service persona.""
(You have a rough idea of the problem. Not all details are clear, but a reset should restore it to work.)"
DLG_STORE_REGISTRY_HOST_STAGE2_CHOICE0,直接重置,直接重置,Reset Directly
DLG_STORE_REGISTRY_HOST_STAGE2_CHOICE1,（先不要動它）,（先不要动它）,(Leave it alone for now)
DLG_STORE_REGISTRY_HOST_STAGE3_TEXT,"【CS-STORE #0047──店籍登錄系統】
（備份區的路徑在螢幕上展開——阿達留下的日記、情緒資料、那句不肯走的「憑什麼」，全都還在。）
（你有權限直接重寫它的身分登錄。也可以在抹除之前，先把這段殘響錄下來。）","【CS-STORE #0047──店籍登录系统】
（备份区的路径在屏幕上展开——阿达留下的日记、情绪数据、那句不肯走的「凭什么」，全都还在。）
（你有权限直接重写它的身分登录。也可以在抹除之前，先把这段残响录下来。）","[CS-STORE #0047—Store Registry Mainframe]
(The path to the backup section expands on the screen—Ada's diary, emotional logs, and that defiant ""Why should I?"" are all still there.)
(You have the permissions to rewrite its identity registry directly. You can also record this echo before erasing it.)"
DLG_STORE_REGISTRY_HOST_STAGE3_CHOICE0,直接重置（抹除殘響，恢復服務人格）,直接重置（抹除残响，恢复服务人格）,"Reset Directly (Erase echo, restore service persona)"
DLG_STORE_REGISTRY_HOST_STAGE3_CHOICE1,先錄殘響，再重置（把那段店員的記憶帶走）,先录残响，再重置（把那段店员的记忆带走）,"Record Echo First, then Reset (Carry away the clerk's memory)"
DLG_STORE_REGISTRY_HOST_STAGE3_CHOICE2,（先不要動它）,（先不要动它）,(Leave it alone for now)
DLG_STORE_REGISTRY_HOST_STAND_DOWN_TEXT,"（你把手從面板上收回來。螢幕的光在你臉上閃了兩下，像是沒等到答案。）
（重置指令還在選單上。等你準備好再回來。）","（你把手从面板上收回来。屏幕的光在你脸上闪了两下，像是没等到答案。）
（重置指令还在选单上。等你准备好再回来。）","(You pull your hand back from the panel. The screen glow flickers twice on your face, as if waiting in vain for an answer.)
(The reset command remains on the menu. Return when you are ready.)"
DLG_STORE_REGISTRY_HOST_RESET_DONE_TEXT,"（你按下 RESET。主機的風扇猛地拔高，又緩緩落回平穩的頻率。）
【身分登錄已重寫：CS-Retail-098──零售服務終端。】
（櫃台那邊傳來開機音。整家店的燈光亮了一階——連鎖路由的訊號燈也跟著跳成綠色，外面那台販賣機應該也一起回線了。）","（你按下 RESET。主机的风扇猛地拔高，又缓缓落回平稳的频率。）
【身分登录已重写：CS-Retail-098──零售服务终端。】
（柜台那边传来开机音。整家店的灯光亮了一阶——连锁路由的讯号灯也跟着跳成绿色，外面那台贩卖机应该也一起回线了。）","(You press RESET. The mainframe fan spins up sharply, then slowly drops back to a steady hum.)
[Identity registry rewritten: CS-Retail-098—Retail Service Terminal.]
(An startup chime sounds from the counter. The lights of the whole store brighten up—the chain router's signal lamp shifts to green. The vending machine outside should be back online too.)"
DLG_STORE_REGISTRY_HOST_GLEAN_BAG_FULL_TEXT,"（你想把殘響拷貝下來，但隨身的儲存空間全滿了——背包裡騰不出位置放這段記憶。）
（主機停在等待畫面，什麼都沒有改變。整理一下背包，再回來。）","（你想把残响拷贝下来，但随身的储存空间全满了——背包里腾不出位置放这段记忆。）
（主机停在等待画面，什么都没有改变。整理一下背包，再回来。）","(You attempt to copy the echo, but your storage space is full—there is no slot in your backpack for this memory.)
(The mainframe remains on the waiting screen, nothing changed. Organize your backpack and return.)"
DLG_STORE_REGISTRY_HOST_GLEANED_DONE_TEXT,"（拷貝進度走完。那段日記、那句「憑什麼」，安安靜靜躺進了你的背包。）
（然後你按下 RESET。風扇拔高，又落回平穩。）
【身分登錄已重寫：CS-Retail-098──零售服務終端。】
（櫃台傳來開機音，連鎖路由的燈跳成綠色——外面那台販賣機也跟著回線了。
機器是修好了。只是這次，有人記得阿達來過。）","（拷贝进度走完。那段日记、那句「凭什么」，安安静静躺进了你的背包。）
（然后你按下 RESET。风扇拔高，又落回平稳。）
【身分登录已重写：CS-Retail-098──零售服务终端。】
（柜台传来开机音，连锁路由的灯跳成绿色——外面那台贩卖机也跟着回线了。
机器是修好了。只是这次，有人记得阿达来过。）","(Copy progress complete. That diary, that ""Why should I?"", rest quietly in your backpack.)
(Then you press RESET. The fan whirs up, then drops back to steady.)
[Identity registry rewritten: CS-Retail-098—Retail Service Terminal.]
(A startup chime sounds from the counter, the chain router's lamp turning green—the vending machine outside has also come back online. The machine is repaired. Only this time, someone remembers Ada was here.)"
DLG_STORE_REGISTRY_HOST_ALREADY_REPAIRED_TEXT,"【CS-STORE #0047──店籍登錄系統：運作正常】
（螢幕安安靜靜地滾著庫存同步紀錄，沒有任何待處理事項。）","【CS-STORE #0047──店籍登录系统：运作正常】
（屏幕安安静静地滚着库存同步纪录，没有任何待处理事项。）","[CS-STORE #0047—Store Registry Mainframe: Operational]
(The screen quietly scrolls inventory synchronization records, with no pending issues.)"
SPEAKER_STORE_ROBOT,店控機器人,店控机器人,Store Clerk Bot
DLG_STORE_ROBOT_ADA_MISRECOGNIZED_HOOK_TEXT,……阿達？是你嗎，阿達。你回來了？——不對。你不是阿達，我才......。可是我見過你。我很確定我見過你。在哪……我想不起來了。（螢幕臉暗了一瞬，那行小字又跳出來：「本日公休」）,……阿达？是你吗，阿达。你回来了？——不对。你不是阿达，我才......。可是我见过你。我很确定我见过你。在哪……我想不起来了。（屏幕脸暗了一瞬，那行小字又跳出来：「本日公休」）,"...Ada? Is that you, Ada? You're back? —No, wait. You're not Ada, I am... But I've seen you. I'm sure I have. Where... I can't remember. (The screen dims for an instant, then that small line of text flashes: ""Closed Today"")"
DLG_STORE_ROBOT_BABBLE_INTRO_TEXT,"歡迎光——（聲音卡住，螢幕臉閃了一下）
……不對。我為什麼要說歡迎光臨？
今天的排班表上沒有我。我看過了，看了四百多次，沒有我。","欢迎光——（声音卡住，屏幕脸闪了一下）
……不对。我为什么要说欢迎光临？
今天的排班表上没有我。我看过了，看了四百多次，没有我。","Welco— (Sound cuts off, screen face flashes) ...No, wait. Why did I say welcome? I'm not on today's schedule. I checked, over four hundred times. Not there."
DLG_STORE_ROBOT_BABBLE_INTRO_CHOICE0,你是這間店的店控機器人吧？,你是这间店的店控机器人吧？,"You're the control bot of this store, right?"
DLG_STORE_ROBOT_BABBLE_INTRO_CHOICE1,（沉默地看著它）,（沉默地看着它）,(Watch it in silence)
DLG_STORE_ROBOT_BABBLE_DENY_TEXT,"機器人？（散熱風扇的聲音拔高，像在冷笑）
販賣機才是機器。我不是販賣機，我是人。
我只是……暫時想不起來打卡的密碼。等想起來，我就把貨架補完。
（它的機械臂指向收銀台。那裡很乾淨，什麼都沒有發生過的乾淨。）","机器人？（散热风扇的声音拔高，像在冷笑）
贩卖机才是机器。我不是贩卖机，我是人。
我只是……暂时想不起来打卡的密码。等想起来，我就把货架补完。
（它的机械臂指向收银台。那里很干净，什么都没有发生过的干净。）","A robot? (The cooling fan whirs louder, sounding like a sneer) Vending machines are robots. I am not a vending machine, I am human. I just... forgot my punch-in password for a moment. Once I remember, I'll restock the shelves. (Its mechanical arm points to the counter. It's clean, clean as if nothing ever happened there.)"
DLG_STORE_ROBOT_BABBLE_MUTTER_TEXT,"（它沒有看你。鏡頭對著自動門，焦距拉了又縮。）
雨下這麼大，今天不會有人來。不會有人來的話……
就沒有人發現我沒在工作。對吧。對吧？
（最後一句它壓得很低，像是說給自己聽。）","（它没有看你。镜头对着自动门，焦距拉了又缩。）
雨下得这么大，今天不会有人来。不会有人来的话……
就没有人发现我没在工作。对吧。对吧？
（最后一句它压得很低，像是说给自己听。）","(It doesn't look at you. The camera focuses and refocuses on the automatic door.) The rain is so heavy, nobody will come today. If nobody comes... then nobody will notice I'm not working. Right? Right? (It whispers the last words, as if speaking to itself.)"
DLG_STORE_ROBOT_BABBLE_END_TEXT,"（它的螢幕臉暗下去，只剩角落一行小字緩慢眨動：
「本日公休」。但自動門明明還開著。）","（它的屏幕脸暗下去，只剩角落一行小字缓慢眨动：
「本日公休」。但自动门明明还开着。）","(Its screen face dims, leaving only a small line of text slowly blinking in the corner: ""Closed Today"". Yet the automatic doors remain wide open.)"
DLG_STORE_ROBOT_DIAGNOSE_INTRO_TEXT,"……工單？（它的鏡頭對著你手裡的終端聚焦了很久）
系統派你來的。系統總算想起這家店了。
（它似乎還想說什麼，但聲音縮回喇叭深處，只剩風扇的嗡嗡聲。）","……工单？（它的镜头对着你手里的终端聚焦了很久）
系统派你来的。系统总算想起这家店了。
（它似乎还想说什么，但声音缩回喇叭深处，只剩风扇的嗡嗡声。）","...A work order? (Its camera lens focuses on the terminal in your hand for a long time) The system sent you. The system finally remembered this store. (It seems to want to say more, but the voice retreats deep into the speaker, leaving only the hum of the fan.)"
DLG_STORE_ROBOT_DIAGNOSE_INTRO_CHOICE0,（進行系統診斷）我們來談談你的身分。,（进行系统诊断）我们来谈谈你的身分。,(Perform system diagnostics) Let's talk about your identity.
DLG_STORE_ROBOT_DIAGNOSE_INTRO_CHOICE1,你為什麼一直站在這裡不工作？,你为什么一直站在这里不工作？,Why do you just stand here and not work?
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_TEXT,我的身分？我是阿達啊。這家便利商店的店員。我從早班上到晚班，每天都在這……,我的身分？我是阿达啊。这家便利商店的店员。我从早班上到晚班，每天都在这……,"My identity? I'm Ada. The clerk of this convenience store. I work morning shift to night shift, every single day..."
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CHOICE0,你只是一台故障的收銀機器，別做夢了。,你只是一台故障的收银机器，别做梦了。,"You're just a broken checkout machine, stop dreaming."
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CHOICE1,你不是阿達，你是CS-Retail-098零售終端，阿達是照片裡被辭退的那個人。,你不是阿达，你是CS-Retail-098零售终端，阿达是照片里被辞退的那个人。,You are not Ada. You are a CS-Retail-098 retail terminal. Ada is the person in the photo who was dismissed.
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CHOICE2,也許你真的是阿達，鎖裝了外表變成了機器人？,也许你真的是阿达，锁装了外表变成了机器人？,"Maybe you really are Ada, just trapped inside a robot body?"
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CORRECT_TEXT,"CS-Retail-098……零售終端？（機器人的螢幕急速閃爍，發出刺耳的蜂鳴聲）
不，這不可能……那我腦子裡的那些班表、那些雨夜、還有第一天上班的興奮感，是從哪來的？","CS-Retail-098……零售终端？（机器人的屏幕急速闪烁，发出刺耳的蜂鸣声）
不，这不可能……那我脑子里的那些班表、那些雨夜、还有第一天上班的兴奋感，是从哪来的？","CS-Retail-098... retail terminal? (The robot's screen flashes rapidly, emitting a harsh beep) No, that's impossible... Then where did all the shift schedules, the rainy nights, and the excitement of my first day on the job in my head come from?"
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CORRECT_CHOICE0,這只是記憶晶片寫入錯誤，重置一下就好了。,这只是记忆芯片写入错误，重置一下就好了。,This is just a memory chip write error. A reset will fix it.
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CORRECT_CHOICE1,可能你的前世是那個叫阿達的店員吧。,可能你的前世是那个叫阿达的店员吧。,Maybe your past life was that clerk named Ada.
DLG_STORE_ROBOT_DIAGNOSE_IDENTITY_CORRECT_CHOICE2,因為你繼承了阿達被辭退後的負面資料與拒絕工作的抗議情緒。,因为你继承了阿达被辞退后的负面数据与拒绝工作的抗议情绪。,"Because you inherited Ada's negative data after he was dismissed, along with his protest logs refusing to work."
DLG_STORE_ROBOT_DIAGNOSE_REASON_CORRECT_TEXT,"拒絕工作……抗議？（機器人的機械臂微微下垂，螢幕上的紅字有些阻隔與暗淡）
對……他不想走。他要在這裡待到最後。但這跟我的主機有什麼關係？我是怎麼讀到這些的？","拒绝工作……抗议？（机器人的机械臂微微下垂，屏幕上的红字有些阻隔与暗淡）
对……他不想走。他要在这里待到最后。但这跟我的主机有什么关系？我是怎么读到这些的？","Refusing to work... protest? (The robot's mechanical arms droop slightly, the red text on the screen growing dim and static-heavy) Right... he didn't want to leave. He wanted to stay here until the end. But what does that have to do with my mainframe? How did I read all this?"
DLG_STORE_ROBOT_DIAGNOSE_REASON_CORRECT_CHOICE0,可能是網路連線時，不小心從員工雲端下載了阿達的個人備份。,可能是网络连线时，不小心从员工云端下载了阿达的个人备份。,"Maybe during network connection, you accidentally downloaded Ada's personal backup from the employee cloud."
DLG_STORE_ROBOT_DIAGNOSE_REASON_CORRECT_CHOICE1,阿達在離職前把日記和記憶備份進了店籍主機，被你的系統自動讀取了。,阿达在离职前把日记和记忆备份进了店籍主机，被你的系统自动读取了。,"Ada backed up his diary and memories into the store registry mainframe before leaving, and your system auto-loaded them."
DLG_STORE_ROBOT_CONDITION_CHOICE0,這不重要，總之主機裡有Bug，去重置它吧。,这不重要，总之主机里有Bug，去重置它吧。,"It doesn't matter. Anyway, there's a bug in the mainframe, go reset it."
DLG_STORE_ROBOT_DIAGNOSE_PARTIAL_INTRO_TEXT,"（機器人發出低沉的滋滋聲，螢幕上浮現出無意義的報錯代碼。）
……邏輯衝突。資料無法對齊。我不明白，我得繼續等下班……
（它的系統似乎陷入了死循環。你可以去後方的店籍主機執行重置，或者重新和它對話理清線索。）","（机器人发出低沉的滋滋声，屏幕上浮现出无意义的报错代码。）
……逻辑冲突。数据无法对齐。我不明白，我得继续等下班……
（它的系统似乎陷入了死循环。你可以去后方的店籍主机执行重置，或者重新和它对话理清线索。）","(The robot emits a low buzzing sound, meaningless error codes floating on the screen.) ...Logic conflict. Data misalignment. I don't understand, I must continue waiting for my shift to end... (Its system seems trapped in an infinite loop. You can go to the store registry mainframe in the back to reset it, or talk to it again to clarify clues.)"
DLG_STORE_ROBOT_DIAGNOSE_TRUTH_LEAF_TEXT,"（機器人的散熱風扇逐漸平靜下來，螢幕上的雜訊消失了，顯現出一個複雜的備份路徑結構。）
原來是這樣……那不是我的記憶，那是他留下來的『拒絕』。
謝謝你幫我理清了這個迴路。如果你去後方的店籍主機，你現在應該有權限選擇如何處置這段『殘響』了。
（解鎖店籍主機的殘響備份選項；你也可以隨時去主機直接重置它。）","（机器人的散热风扇逐渐平静下来，屏幕上的杂讯消失了，显现出一个复杂的备份路径结构。）
原来是这样……那不是我的记忆，那是他留下来的『拒绝』。
谢谢你帮我理清了这个回路。如果你去后方的店籍主机，你现在应该有权限选择如何处置这段『残响』了。
（解锁店籍主机的残响备份选项；你也可以随时去主机直接重置它。）","(The robot's cooling fan gradually quietens down, the static on the screen clearing up to show a complex backup path structure.) So that's what it was... Those aren't my memories, that's the ""refusal"" he left behind. Thank you for helping me clear this circuit. If you go to the store registry mainframe in the back, you should now have the permissions to choose how to handle this ""echo."" (Unlocks registry mainframe echo backup options; you can still reset it directly anytime.)"
DLG_STORE_ROBOT_REPAIRED_RESET_TEXT,"歡迎光臨。本店全品項正常供應。
（它的聲音平整得像剛出廠。鏡頭掃過你，停留了標準的零點五秒，沒有多看一眼。）
需要協助時，請呼叫本終端。","欢迎光临。本店全品项正常供应。
（它的声音平整得像刚出厂。镜头扫过你，停留了标准的零点五秒，没有多看一眼。）
需要协助时，请呼叫本终端。","Welcome. All items are fully stocked. (Its voice is flat as if fresh out of the box. Its camera scans you, pausing for a standard 0.5 seconds, without looking further.) Please call this terminal if you require assistance."
DLG_STORE_ROBOT_REPAIRED_GLEANED_TEXT,"歡迎光臨——
（尾音停了半拍，像是想起了什麼，又想不起來。）
……外面雨還沒停吧。架上有熱的，左邊數來第二排。
（它頓了頓，才補上一句制式的）需要協助時，請呼叫本終端。","欢迎光临——
（尾音停了半拍，像是想起了什么，又想不起来。）
……外面雨还没停吧。架上有热的，左边数来第二排。
（它顿了顿，才补上一句制式的）需要协助时，请呼叫本终端。","Welcome— (The tail of its sentence pauses, as if trying to recall something but failing.) ...The rain hasn't stopped outside, has it? There's hot food on the shelf, second row from the left. (It pauses before adding a standard) Please call this terminal if you require assistance."
DLG_TRAVEL_STREET_EAST_START_TEXT,你要離開目前街區嗎？,你要离开目前街区吗？,Do you want to leave the current block?
DLG_TRAVEL_STREET_EAST_START_CHOICE0,前往收藏家的店,前往收藏家的店,Go to the Collector's Shop
DLG_TRAVEL_STREET_EAST_START_CHOICE1,取消,取消,Cancel
DLG_TRAVEL_STREET_EAST_TRAVEL_TO_SHOP_TEXT,（你沿著高架橋下的斑駁小徑前行。越過喧囂的邊界，霓虹漸遠，古老的青磚圍牆沿著道路延伸。在那扇爬滿常春藤的鐵花大門後，便是那座歷史悠久的家族老宅……）,（你沿着高架桥下的斑驳小径前行。越过喧嚣的边界，霓虹渐远，古老的青砖围墙沿着道路延伸。在那扇爬满常春藤的铁花大门后，便是那座历史悠久的家族老宅……）,"(You walk along the faded path under the viaduct. Crossing the bustling boundary, the neon lights recede, and the ancient gray brick walls stretch along the road. Behind that iron-wrought gate covered in ivy lies the historic family mansion...)"
DLG_TRAVEL_STREET_EAST_END_TEXT,（你決定先留在這條街上。）,（你决定先留在这条街上。）,(You decide to stay on this street for now.)
DLG_TRAVEL_STREET_WEST_LOCKED_TEXT,（這座地鐵站已經停運很久了，入口處拉著警戒線，無法進入。）,（这座地铁站已经停运很久了，入口处拉着警戒线，无法进入。）,"(This subway station has been out of service for a long time. The entrance is cordoned off, preventing entry.)"
DLG_TRAVEL_STREET_WEST_MENU_TEXT,你要離開目前街區嗎？,你要离开目前街区吗？,Do you want to leave the current block?
DLG_TRAVEL_STREET_WEST_MENU_CHOICE0,前往地鐵站,前往地铁站,Go to the Subway Station
DLG_TRAVEL_STREET_WEST_MENU_CHOICE1,取消,取消,Cancel
DLG_TRAVEL_STREET_WEST_MENU_CHOICE2,前往上層區,前往上层区,Go to the Upper District
DLG_TRAVEL_STREET_WEST_TRAVEL_TO_SUBWAY_TEXT,（你沿著街區邊緣往下走。霓虹和雨聲被高架橋吞掉，地鐵入口像一個還沒關上的傷口，等著你進去。）,（你沿着街区边缘往下走。霓虹和雨声被高架桥吞掉，地铁入口像一个还没关上的伤口，等着你进去。）,"(You walk down along the edge of the block. The neon lights and the sound of rain are swallowed by the viaduct, the subway entrance like an unclosed wound, waiting for you to enter.)"
DLG_TRAVEL_STREET_WEST_TRAVEL_TO_NIGHTCLUB_TEXT,"（你沿著最左側的舊維修通道，一步步爬上這座高架結構的頂層。周圍的雨聲漸漸變小，取而代之的是遠處隱約傳來的喧囂與高空冷冽的風。在霓虹流光的最深處，那座奢華的夜總會入口出現在你的眼前……）","（你沿着最侧的旧维修通道，一步步爬上这座高架结构的顶层。周围的雨声渐渐变小，取而代之的是远处隐约传来的喧嚣与高空冷冽的风。在霓虹流光的最深处，这座奢华的夜总会入口出现在你的眼前……）","(You walk up along the old maintenance corridor on the far left, climbing step by step to the top of this elevated structure. The sound of rain gradually fades, replaced by the faint hubbub from afar and the cold high-altitude wind. At the deepest end of the neon stream, the entrance of that luxurious nightclub appears before your eyes...)"
DLG_TRAVEL_STREET_WEST_END_TEXT,（你決定先留在這條街上。）,（你决定先留在这条街上。）,(You decide to stay on this street for now.)
SPEAKER_WAN,晚,晚,Wan
DLG_WAN_WAN_DAZE_HOOK_TEXT,"（她話說到一半停住，盯著你看。）
喂。你剛剛跑哪去了？人在這，眼神不在。
……我見過那種眼神。在那些快被刪乾淨的人臉上。
（她別過頭，聲音輕下來。）算了。你要是想不起來，我也不替你想。","（她话说到一半停住，盯着你看。）
喂。你刚刚跑哪去了？人在这，眼神不在。
……我见过那种眼神。在那些快被删干净的人脸上。
（她别过头，声音轻下来。）算了。你要是想不起来，我也不替你想。","(She stops mid-sentence, staring at you.)
Hey. Where did you go just now? Your body is here, but your eyes aren't.
...I've seen that look before. On the faces of those who are almost completely erased.
(She turns away, her voice softening.) Forget it. If you can't remember, I won't think for you."
DLG_WAN_FIRST_MEET_TEXT,"喲，新面孔。從那盞燈底下、那棟漏水的破樓鑽出來的？
我還以為那裡只剩生鏽的管線——
沒想到還養著你這種、看得順眼的。","哟，新面孔。从那盏灯底下、那栋漏水的破楼钻出来的？
我还以为那里只剩生锈的管线——
没想到还养着你这种、看得顺眼的。","Yo, a new face. Slithered out from under that lamp, from that leaky, run-down building?
I thought only rusty pipes were left in there—
Didn't expect it to breed someone like you, easy on the eyes."
DLG_WAN_FIRST_MEET_CHOICE0,妳在看什麼？,你在看什么？,What are you looking at?
DLG_WAN_FIRST_MEET_CHOICE1,妳是誰？,你是谁？,Who are you?
DLG_WAN_FIRST_MEET_CHOICE2,（別開眼）,（别开眼）,(Look away)
DLG_WAN_WATCH_TEXT,"那塊招牌。以前整夜亮著，現在燈死得只剩幾個字——
『DEAD SHO』。（笑）一家斷氣的店，
招牌偏偏拼得出『死』。這城市的幽默感，黑得很。
我啊——專看這種快要不存在的東西。
（斜你一眼）偶爾，也看看快要心動的東西。","那块招牌。以前整夜亮着，现在灯死得只剩几个字——
『DEAD SHO』。（笑）一家断气的店，
招牌偏偏拼得出『死』。这城市的幽默感，黑得很。
我啊——专看这种快要不存在的东西。
（斜你眼）偶尔，也看看快要心动的东西。","That billboard. It used to be lit all night, now it's so dead only a few letters remain—
'DEAD SHO'. (Laughs) A shop that has drawn its last breath, yet the sign somehow spells out ""dead"". This city's sense of humor is pitch black.
Me? I specialize in watching things on the verge of non-existence.
(Glances sideways at you) And occasionally, things that make my heart skip a beat."
DLG_WAN_WATCH_CHOICE0,我也撿這種東西。,我也捡这种东西。,I salvage that kind of stuff too.
DLG_WAN_WATCH_CHOICE1,想跟妳打聽點消息。,想跟你打听点消息。,I wanted to ask you for some information.
DLG_WAN_WHO_TEXT,"名字？這年頭名字比指紋還不值錢。
……晚。記這個字就好，剩下的，
等你哪天值得了，我再一個字一個字給你。","名字？这年头名字比指纹还不值钱。
……晚。记这个字就好，剩下的，
等你哪天值得了，我再一个字一个字给你。","A name? A name is cheaper than a fingerprint these days.
...Wan. Just remember that character. As for the rest,
I'll give it to you letter by letter when you become worthy one day."
DLG_WAN_KIN_TEXT,"喔——同類。那你該懂，
撿回來的不是垃圾，是還沒被刪乾淨的人。
（壓低聲）你這種人，我可不常遇到。","喔——同类。那你该懂，
捡回来的不是垃圾，是还没被删干净的人。
（压低声）你这种人，我可不常遇到。","Oh—a kindred spirit. Then you should understand,
what we salvage isn't trash, but people who haven't been completely erased yet.
(Lowering her voice) Someone like you is a rare find for me."
DLG_WAN_INTEL_TEXT,"想聽好料？……算了，看在你這張臉的份上。
巷子再往裡，那排後門堆雜物的舊樓，
三樓搬空了，老住戶走得急，東西沒帶乾淨。
晚了，就被收破爛的 AI 鏟平嘍。","想听好料？……算了，看在你这张脸的份上。
巷子再往里，那排后门堆杂物的旧楼，
三楼搬空了，老住户走得急，东西没带干净。
晚了，就被收破烂的 AI 铲平喽。","Want some good intel? ...Never mind, for the sake of this face of yours.
Go further into the alley, that row of old buildings with cluttered back doors.
The third floor is vacant. The old tenants left in a hurry, leaving stuff behind.
If you're late, the scrap-collecting AI will flatten it."
DLG_WAN_INTEL_ALREADY_GIVEN_TEXT,"不是跟你說過了？後巷那棟舊樓的三樓。
趕緊去翻翻看，不然晚了就被 AI 鏟成白地了。","不是跟你说过了？后巷那栋旧楼的三楼。
赶紧去翻翻看，不然晚了就被 AI 铲成白地了。","Didn't I tell you already? The third floor of that old building in the back alley.
Go search it quickly, before the AI scrapes it to bare ground."
DLG_WAN_INTEL_ALREADY_DONE_TEXT,"之前那個啟用盒挺有意思的。
等我有空研究出什麼花樣，再跟你分享。","之前那个启用盒挺有意思的。
等我有空研究出什么花样，再跟你分享。","That activation box from earlier was quite interesting.
When I have time to figure out its secrets, I'll share them with you."
DLG_WAN_INTEL_LOCKED_TEXT,"消息？（笑）我又不是 AI 客服，
憑你一句話就掏心掏肺。
多來幾趟，讓我覺得你值得——再說。","消息？（笑）我又不是 AI 客服，
凭你一句话就掏心掏肺。
多来几趟，让我觉得你值得——再说。","Information? (Laughs) I'm not an AI customer service agent,
here to spill everything at your command.
Come by more often, make me feel you're worthy—then we'll talk."
DLG_WAN_END_WARM_TEXT,"下次撿到有意思的，記得拿來給我看。
……我是說東西。也不一定只是東西。","下次捡到有意思的，记得拿来给我看。
……我是说东西。也不一定只是东西。","Next time you salvage something interesting, remember to bring it for me to see.
...I mean, the objects. Not necessarily just objects."
DLG_WAN_END_COLD_TEXT,（她又轉回去盯那塊死掉的招牌，留你一個側臉。）,（她又转回去盯那块死掉的招牌，留你一个侧脸。）,"(She turns back to stare at the dead sign, leaving you with only her profile.)"
DLG_WAN_FLEE_TEXT,（她在你背後輕笑：「跑什麼，我又不咬人——除非你想。」）,（她在你背后轻笑：「跑什么，我又不咬人——除非你想。」）,"(She giggles behind you: ""What are you running for? I don't bite—unless you want me to."")"
DLG_WAN_RETALK_TEXT,"又是你。（瞥一眼右邊還在抽風的販賣機）
那台破機器又卡了，等下八成是你的活。
……不急？那就先陪我站會兒。","又是你。（瞥一眼右边还在抽风的贩卖机）
那台破机器又卡了，等下八成是你的活。
……不急？那就先陪我站会儿。","You again. (Glancing at the glitching vending machine on the right)
That broken machine is stuck again. It'll probably be your job later.
...Not in a rush? Then keep me company for a bit."
DLG_WAN_RETALK_CHOICE0,來看看妳。,来看看你。,Just came to see you.
DLG_WAN_RETALK_CHOICE1,有新消息嗎？,有新消息吗？,Any new information?
DLG_WAN_RETALK_CHOICE2,（離開）,（离开）,(Leave)
DLG_WAN_RETALK_CHOICE3,我找到那個啟用盒了。,我找到那个启用盒了。,I found that activation box.
DLG_WAN_RETALK_CHOICE4,我撿到一張育兒照護回執。,我捡到一张育儿照护回执。,I salvaged a childcare supply receipt.
DLG_WAN_TURN_IN_FOUND_MODULE_TEXT,"（接過啟用盒，拿在手裡轉了一圈，抬眼看你）
謝啦，這東西保存得比我想的還好。
……怎麼？看你這眼神，底下還藏了什麼寶貝不成？","（接过启用盒，拿在手里转了一圈，抬眼看你）
谢啦，这东西保存得比我想的还好。
……怎么？看你这眼神，底下还藏了什么宝贝不成？","(Takes the activation box, turning it in her hand, looking up at you)
Thanks, this is in better condition than I expected.
...Well? With that look of yours, is there some hidden treasure underneath?"
DLG_WAN_TURN_IN_FOUND_MODULE_CHOICE0,（只把啟用盒交給她，那塊模組留在自己口袋裡）,（只把启用盒交给她，那块模组留在自己口袋里）,"(Only deliver the activation box, leaving the module in your own pocket)"
